case_id,N,Z,T,score,temporal_dice,wrap_dice,spatial_dice,derived_z_spacing,confidence,status,score_gap,reason
CINE_SAX_049,250,10,25,2.0686581173922045,0.9712789652583993,0.9581477407204055,0.8320475538449995,,high,accepted,inf,all confidence gates passed
CINE_SAX_050,250,10,25,2.074751594918051,0.9799772514604176,0.9429264106368471,0.8281293186396316,,high,accepted,inf,all confidence gates passed
CINE_SAX_051,325,13,25,2.144305066489143,0.9778625336285491,0.948094541884084,0.7595145426520391,,high,accepted,inf,all confidence gates passed
CINE_SAX_052,250,10,25,2.0392588129596954,0.9807520705207902,0.9434334098716702,0.8656787379535553,,high,accepted,inf,all confidence gates passed
CINE_SAX_053,275,11,25,2.043053320620171,0.9774960810515297,0.9435842615913576,0.8555231030742461,,high,accepted,inf,all confidence gates passed
CINE_SAX_054,275,11,25,2.0406581995042132,0.972486806786705,0.859638817401585,0.7639542314707817,,high,accepted,inf,all confidence gates passed
CINE_SAX_055,230,10,23,1.957635604398473,0.9681326815192258,0.7687109330052919,0.7473406916452706,,low,manual_review,inf,failed gates: wrap_dice
CINE_SAX_056,250,10,25,2.1023944617939536,0.9750043996783898,0.9452902876137882,0.7929046251766143,,high,accepted,inf,all confidence gates passed
CINE_SAX_057,250,10,25,2.0773107308132808,0.9728963668103293,0.9595562839499383,0.8280382867573162,,high,accepted,inf,all confidence gates passed
CINE_SAX_058,250,10,25,2.233462522153334,0.970649529991665,0.9419470536508967,0.6497835914808926,,high,accepted,inf,all confidence gates passed
CINE_SAX_059,275,11,25,2.092330693442168,0.974034761077982,0.9261419803766429,0.781880809090439,,high,accepted,inf,all confidence gates passed
CINE_SAX_060,250,10,25,2.086011494794292,0.9709582776287123,0.9300775715232437,0.7859826319863767,,high,accepted,inf,all confidence gates passed
CINE_SAX_061,300,12,25,2.0417971510067874,0.9719993404818096,0.9289129950236412,0.8311145249804729,,high,accepted,0.06890861276839821,all confidence gates passed
CINE_SAX_062,275,11,25,2.0613450080955165,0.9753907064743141,0.9222016135559116,0.8116380184090235,,high,accepted,inf,all confidence gates passed
CINE_SAX_063,300,12,25,2.0658162144630214,0.9742972433742639,0.9370304065374951,0.8198086788230018,,high,accepted,0.10414337967265785,all confidence gates passed
CINE_SAX_064,250,10,25,2.079336497695248,0.973847649214748,0.9537152696401942,0.822074070374442,,high,accepted,inf,all confidence gates passed
CINE_SAX_065,275,11,25,2.1651750406648707,0.9825936371974938,0.9550701778852768,0.755082411615394,,high,accepted,inf,all confidence gates passed
CINE_SAX_066,275,11,25,2.0381831701150226,0.9606754461676483,0.9050177225908039,0.788185444811078,,high,accepted,inf,all confidence gates passed
CINE_SAX_067,250,10,25,2.164857321967685,0.9785438914012324,0.9164572891590741,0.7086877499938539,,high,accepted,inf,all confidence gates passed
CINE_SAX_068,250,10,25,2.020897527011976,0.9712771603606714,0.8497179610248192,0.7713747547341858,,high,accepted,inf,all confidence gates passed
CINE_SAX_069,250,10,25,2.057663342819807,0.9740799999345374,0.9296017851651293,0.8200984422143973,,high,accepted,inf,all confidence gates passed
CINE_SAX_070,250,10,25,2.0860434336437668,0.9711111968989604,0.9450599266455327,0.8012388867996868,,high,accepted,inf,all confidence gates passed
CINE_SAX_071,275,11,25,2.1443994609503516,0.9786957305603711,0.9383230039549406,0.7513150041253314,,high,accepted,inf,all confidence gates passed
CINE_SAX_072,250,10,25,2.037322216726673,0.9653684379228733,0.9047108700603923,0.7981255291794658,,high,accepted,inf,all confidence gates passed
CINE_SAX_073,250,10,25,2.052902939191114,0.971709452826325,0.950515186301278,0.8410311527628138,,high,accepted,inf,all confidence gates passed
CINE_SAX_074,275,11,25,2.051067806883121,0.9658043377238785,0.9354669201800576,0.8160077887446939,,high,accepted,inf,all confidence gates passed
